Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	10	0	0.00671068798	0.00849597037	0.00849597037	0.00849597037	0.00849597037	0	0	0	0	0	0	0	3
2	13	0	0.013421376	0.00850683687	0.00850140362	0.00849597037	0.00850683687	5.43325033e-06	0	0	0	0	0	0	3
3	17	0	0.0201320639	0.00850710523	0.00850330415	0.00849597037	0.00850710523	7.33378743e-06	0	0	0	0	0	0	3
4	20	0	0.0268427519	0.00850649195	0.0085041011	0.00849597037	0.00850710523	8.13073556e-06	0	0	0	0	0	0	3
5	24	0	0.0335534399	0.00850583994	0.00850444887	0.00849597037	0.00850710523	8.47850268e-06	0	0	0	0	0	0	3
6	28	0	0.0402641279	0.00850526883	0.00850458553	0.00849597037	0.00850710523	8.61516265e-06	0	0	0	0	0	0	3
7	31	0	0.0469748158	0.008504714	0.00850460388	0.00849597037	0.00850710523	8.63351606e-06	0	0	0	0	0	0	3
8	34	0	0.0536855038	0.0085042261	0.00850455666	0.00849597037	0.00850710523	8.63351606e-06	0	0	0	0	0	0	3
9	38	0	0.0603961918	0.00850378668	0.00850447111	0.00849597037	0.00850710523	8.63351606e-06	0	0	0	0	0	0	3
10	41	0	0.0671068798	0.00850341986	0.00850436598	0.00849597037	0.00850710523	8.63351606e-06	0	0	0	0	0	0	3
11	44	0	0.0738175678	0.00850309269	0.00850425023	0.00849597037	0.00850710523	8.63351606e-06	0	0	0	0	0	0	3
12	48	0	0.0805282557	0.00850281172	0.00850413035	0.00849597037	0.00850710523	8.63351606e-06	0	0	0	0	0	0	3
13	51	0	0.0872389437	0.00850256091	0.00850400963	0.00849597037	0.00850710523	8.63351606e-06	0	0	0	0	0	0	3
14	55	0	0.0939496317	0.00850234258	0.00850389055	0.00849597037	0.00850710523	8.63351606e-06	0	0	0	0	0	0	3
15	58	0	0.10066032	0.00850213678	0.00850377363	0.00849597037	0.00850710523	8.63351606e-06	0	0	0	0	0	0	3
16	61	0	0.107371008	0.0085019449	0.00850365934	0.00849597037	0.00850710523	8.63351606e-06	0	0	0	0	0	0	3
17	65	0	0.114081696	0.0085017517	0.00850354712	0.00849597037	0.00850710523	8.63351606e-06	0	0	0	0	0	0	3
18	68	0	0.120792384	0.00850156179	0.00850343683	0.00849597037	0.00850710523	8.63351606e-06	0	0	0	0	0	0	3
19	71	0	0.127503072	0.00850137158	0.00850332813	0.00849597037	0.00850710523	8.63351606e-06	0	0	0	0	0	0	3
20	75	0	0.13421376	0.00850118548	0.008503221	0.00849597037	0.00850710523	8.63351606e-06	0	0	0	0	0	0	3
21	78	0	0.140924448	0.00850100179	0.00850311532	0.00849597037	0.00850710523	8.63351606e-06	0	0	0	0	0	0	3
22	82	0	0.147635136	0.00850082149	0.00850301106	0.00849597037	0.00850710523	8.63351606e-06	0	0	0	0	0	0	3
23	85	0	0.154345823	0.00850064193	0.00850290805	0.00849597037	0.00850710523	8.63351606e-06	0	0	0	0	0	0	3
24	89	0	0.161056511	0.0085004649	0.00850280625	0.00849597037	0.00850710523	8.63351606e-06	0	0	0	0	0	0	3
25	92	0	0.167767199	0.00850029045	0.00850270562	0.00849597037	0.00850710523	8.63351606e-06	0	0	0	0	0	0	3
26	95	0	0.174477887	0.00850011991	0.00850260617	0.00849597037	0.00850710523	8.63351606e-06	0	0	0	0	0	0	3
27	99	0	0.181188575	0.00849995334	0.00850250792	0.00849597037	0.00850710523	8.63351606e-06	0	0	0	0	0	0	3
28	102	0	0.187899263	0.00849979098	0.00850241088	0.00849597037	0.00850710523	8.63351606e-06	0	0	0	0	0	0	3
29	106	0	0.194609951	0.0084996334	0.00850231511	0.00849597037	0.00850710523	8.63351606e-06	0	0	0	0	0	0	3
30	109	0	0.201320639	0.00849948149	0.00850222065	0.00849597037	0.00850710523	8.63351606e-06	0	0	0	0	0	0	3
31	112	0	0.208031327	0.00849933544	0.00850212758	0.00849597037	0.00850710523	8.63351606e-06	0	0	0	0	0	0	3
32	116	0	0.214742015	0.00849919535	0.00850203595	0.00849597037	0.00850710523	8.63351606e-06	0	0	0	0	0	0	3
