Iteration	CPUTime	PhysTime	Travels
1	10	0	0.00671068798
2	13	0	0.013421376
3	17	0	0.0201320639
4	20	0	0.0268427519
5	24	0	0.0335534399
6	28	0	0.0402641279
7	31	0	0.0469748158
8	34	0	0.0536855038
9	38	0	0.0603961918
10	41	0	0.0671068798
11	44	0	0.0738175678
12	48	0	0.0805282557
13	51	0	0.0872389437
14	55	0	0.0939496317
15	58	0	0.10066032
16	61	0	0.107371008
17	65	0	0.114081696
18	68	0	0.120792384
19	71	0	0.127503072
20	75	0	0.13421376
21	78	0	0.140924448
22	82	0	0.147635136
23	85	0	0.154345823
24	89	0	0.161056511
25	92	0	0.167767199
26	95	0	0.174477887
27	99	0	0.181188575
28	102	0	0.187899263
29	106	0	0.194609951
30	109	0	0.201320639
31	112	0	0.208031327
32	116	0	0.214742015
33	119	0	0.221452703
34	123	0	0.228163391
35	126	0	0.234874079
36	129	0	0.241584767
37	133	0	0.248295455
38	136	0	0.255006143
39	140	0	0.261716831
40	143	0	0.268427519
41	146	0	0.275138207
42	150	0	0.281848895
43	154	0	0.288559583
44	157	0	0.295270271
45	161	0	0.301980959
46	165	0	0.308691647
47	168	0	0.315402335
48	172	0	0.322113023
49	176	0	0.328823711
50	179	0	0.335534399
51	183	0	0.342245087
52	186	0	0.348955775
53	190	0	0.355666463
54	193	0	0.362377151
55	197	0	0.369087839
56	201	0	0.375798527
57	204	0	0.382509215
58	208	0	0.389219903
59	211	0	0.395930591
60	215	0	0.402641279
61	218	0	0.409351967
62	222	0	0.416062655
63	225	0	0.422773343
64	229	0	0.429484031
65	232	0	0.436194719
66	235	0	0.442905407
67	239	0	0.449616094
68	243	0	0.456326782
69	246	0	0.46303747
70	250	0	0.469748158
71	253	0	0.476458846
72	256	0	0.483169534
73	260	0	0.489880222
74	263	0	0.49659091
75	266	0	0.503301598
76	270	0	0.510012286
77	273	0	0.516722974
78	277	0	0.523433662
79	280	0	0.53014435
80	283	0	0.536855038
81	287	0	0.543565726
82	290	0	0.550276414
83	293	0	0.556987102
84	297	0	0.56369779
85	300	0	0.570408478
86	303	0	0.577119166
87	307	0	0.583829854
88	310	0	0.590540542
89	313	0	0.59725123
90	317	0	0.603961918
91	320	0	0.610672606
92	323	0	0.617383294
93	327	0	0.624093982
94	330	0	0.63080467
95	333	0	0.637515358
96	336	0	0.644226046
97	340	0	0.650936734
98	343	0	0.657647422
99	346	0	0.66435811
100	350	0	0.671068798
101	355	0	0.677779486
102	358	0	0.684490174
103	361	0	0.691200862
104	365	0	0.69791155
105	368	0	0.704622238
106	371	0	0.711332926
107	374	0	0.718043614
108	378	0	0.724754302
109	381	0	0.73146499
110	384	0	0.738175678
111	387	0	0.744886365
112	390	0	0.751597053
113	394	0	0.758307741
114	397	0	0.765018429
115	400	0	0.771729117
116	403	0	0.778439805
117	407	0	0.785150493
118	410	0	0.791861181
119	413	0	0.798571869
120	416	0	0.805282557
121	420	0	0.811993245
122	423	0	0.818703933
123	426	0	0.825414621
124	429	0	0.832125309
125	433	0	0.838835997
126	436	0	0.845546685
127	439	0	0.852257373
128	442	0	0.858968061
129	446	0	0.865678749
130	449	0	0.872389437
131	452	0	0.879100125
132	455	0	0.885810813
133	458	0	0.892521501
134	462	0	0.899232189
135	465	0	0.905942877
136	468	0	0.912653565
137	471	0	0.919364253
138	474	0	0.926074941
139	478	0	0.932785629
140	481	0	0.939496317
141	484	0	0.946207005
142	487	0	0.952917693
143	491	0	0.959628381
144	494	0	0.966339069
145	497	0	0.973049757
146	500	0	0.979760445
147	504	0	0.986471133
148	507	0	0.993181821
149	510	0	0.999892509
150	513	0	1.0066032
151	516	0	1.01331388
152	520	0	1.02002457
153	523	0	1.02673526
154	526	0	1.03344595
155	529	0	1.04015664
156	533	0	1.04686732
157	536	0	1.05357801
158	539	0	1.0602887
159	542	0	1.06699939
160	546	0	1.07371008
161	549	0	1.08042076
162	552	0	1.08713145
163	555	0	1.09384214
164	558	0	1.10055283
165	562	0	1.10726352
166	565	0	1.1139742
167	568	0	1.12068489
168	571	0	1.12739558
169	575	0	1.13410627
170	578	0	1.14081696
171	581	0	1.14752764
172	584	0	1.15423833
173	588	0	1.16094902
174	591	0	1.16765971
175	594	0	1.1743704
176	597	0	1.18108108
177	600	0	1.18779177
178	604	0	1.19450246
179	607	0	1.20121315
180	610	0	1.20792384
181	613	0	1.21463452
182	617	0	1.22134521
183	620	0	1.2280559
184	623	0	1.23476659
185	626	0	1.24147728
186	629	0	1.24818796
187	633	0	1.25489865
188	636	0	1.26160934
189	639	0	1.26832003
190	643	0	1.27503072
191	646	0	1.2817414
192	650	0	1.28845209
193	654	0	1.29516278
194	657	0	1.30187347
195	660	0	1.30858416
196	664	0	1.31529484
197	667	0	1.32200553
198	670	0	1.32871622
199	673	0	1.33542691
200	676	0	1.3421376
201	682	0	1.34884828
202	685	0	1.35555897
203	688	0	1.36226966
204	692	0	1.36898035
205	696	0	1.37569104
206	700	0	1.38240172
207	704	0	1.38911241
208	707	0	1.3958231
