Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
58	208	0	0.389219903	101325.639	101325.564	101325.097	101325.92	0.161386671	0	0	0	444.691	0	0	3
59	211	0	0.395930591	101325.637	101325.565	101325.097	101325.92	0.161386671	0	0	0	443.997	0	0	3
60	215	0	0.402641279	101325.635	101325.566	101325.097	101325.92	0.161386671	0	0	0	444.538	0	0	3
61	218	0	0.409351967	101325.632	101325.567	101325.097	101325.92	0.161386671	0	0	0	443.904	0	0	3
62	222	0	0.416062655	101325.627	101325.568	101325.097	101325.92	0.161386671	0	0	0	444.663	0	0	3
63	225	0	0.422773343	101325.623	101325.569	101325.097	101325.92	0.161386671	0	0	0	446.104	0	0	3
64	229	0	0.429484031	101325.62	101325.57	101325.097	101325.92	0.161386671	0	0	0	446.689	0	0	3
65	232	0	0.436194719	101325.617	101325.571	101325.097	101325.92	0.161386671	0	0	0	446.452	0	0	3
66	235	0	0.442905407	101325.614	101325.571	101325.097	101325.92	0.161386671	0	0	0	447.038	0	0	3
67	239	0	0.449616094	101325.613	101325.572	101325.097	101325.92	0.161386671	0	0	0	447.956	0	0	3
68	243	0	0.456326782	101325.612	101325.572	101325.097	101325.92	0.161386671	0	0	0	448.934	0	0	3
69	246	0	0.46303747	101325.615	101325.573	101325.097	101325.92	0.161386671	0	0	0	450.57	0	0	3
70	250	0	0.469748158	101325.619	101325.574	101325.097	101325.92	0.161386671	0	0	0	451.789	0	0	3
71	253	0	0.476458846	101325.623	101325.574	101325.097	101325.92	0.161386671	0	0	0	453.409	0	0	3
72	256	0	0.483169534	101325.629	101325.575	101325.097	101325.92	0.161386671	0	0	0	454.499	0	0	3
73	260	0	0.489880222	101325.633	101325.576	101325.097	101325.92	0.161386671	0	0	0	455.423	0	0	3
74	263	0	0.49659091	101325.636	101325.577	101325.097	101325.92	0.161386671	0	0	0	456.084	0	0	3
75	266	0	0.503301598	101325.638	101325.578	101325.097	101325.92	0.161386671	0	0	0	456.062	0	0	3
76	270	0	0.510012286	101325.639	101325.578	101325.097	101325.92	0.120102157	0	0	0	455.923	0	0	3
77	273	0	0.516722974	101325.639	101325.58	101325.097	101325.92	0.122494408	0	0	0	456.134	0	0	3
78	277	0	0.523433662	101325.64	101325.582	101325.097	101325.92	0.123795932	0	0	0	456.317	0	0	3
79	280	0	0.53014435	101325.64	101325.587	101325.097	101325.92	0.10000613	0	0	0	456.43	0	0	3
80	283	0	0.536855038	101325.639	101325.584	101325.097	101325.92	0.10000613	0	0	0	456.512	0	0	3
81	287	0	0.543565726	101325.638	101325.59	101325.097	101325.92	0.102363593	0	0	0	456.746	0	0	3
82	290	0	0.550276414	101325.638	101325.587	101325.097	101325.92	0.102363593	0	0	0	456.442	0	0	3
83	293	0	0.556987102	101325.637	101325.593	101325.097	101325.92	0.105892184	0	0	0	456.47	0	0	3
84	297	0	0.56369779	101325.634	101325.589	101325.097	101325.855	0.105892184	0	0	0	456.311	0	0	3
85	300	0	0.570408478	101325.634	101325.597	101325.115	101325.855	0.109239708	0	0	0	456.115	0	0	3
86	303	0	0.577119166	101325.633	101325.594	101325.115	101325.808	0.109239708	0	0	0	456.003	0	0	3
87	307	0	0.583829854	101325.632	101325.601	101325.117	101325.808	0.113153086	0	0	0	456.169	0	0	3
88	310	0	0.590540542	101325.632	101325.598	101325.117	101325.781	0.113153086	0	0	0	455.929	0	0	3
89	313	0	0.59725123	101325.631	101325.605	101325.199	101325.781	0.117651225	0	0	0	455.976	0	0	3
