Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	10	0	0.00671068798	0	0	0	0	0	0	0	0	0	0	0	3
2	13	0	0.013421376	0	0	0	0	0	0	0	0	0	0	0	3
3	17	0	0.0201320639	0	0	0	0	0	0	0	0	0	0	0	3
4	20	0	0.0268427519	0	0	0	0	0	0	0	0	0	0	0	3
5	24	0	0.0335534399	0	0	0	0	0	0	0	0	0	0	0	3
6	28	0	0.0402641279	0	0	0	0	0	0	0	0	0	0	0	3
7	31	0	0.0469748158	0	0	0	0	0	0	0	0	0	0	0	3
8	34	0	0.0536855038	0	0	0	0	0	0	0	0	0	0	0	3
9	38	0	0.0603961918	0	0	0	0	0	0	0	0	0	0	0	3
10	41	0	0.0671068798	0	0	0	0	0	0	0	0	0	0	0	3
11	44	0	0.0738175678	0	0	0	0	0	0	0	0	0	0	0	3
12	48	0	0.0805282557	0	0	0	0	0	0	0	0	0	0	0	3
13	51	0	0.0872389437	0	0	0	0	0	0	0	0	0	0	0	3
14	55	0	0.0939496317	0	0	0	0	0	0	0	0	0	0	0	3
15	58	0	0.10066032	0	0	0	0	0	0	0	0	0	0	0	3
16	61	0	0.107371008	0	0	0	0	0	0	0	0	0	0	0	3
17	65	0	0.114081696	0	0	0	0	0	0	0	0	0	0	0	3
18	68	0	0.120792384	0	0	0	0	0	0	0	0	0	0	0	3
19	71	0	0.127503072	0	0	0	0	0	0	0	0	0	0	0	3
20	75	0	0.13421376	0	0	0	0	0	0	0	0	0	0	0	3
21	78	0	0.140924448	0	0	0	0	0	0	0	0	0	0	0	3
22	82	0	0.147635136	0	0	0	0	0	0	0	0	0	0	0	3
23	85	0	0.154345823	0	0	0	0	0	0	0	0	0	0	0	3
24	89	0	0.161056511	0	0	0	0	0	0	0	0	0	0	0	3
25	92	0	0.167767199	0	0	0	0	0	0	0	0	0	0	0	3
26	95	0	0.174477887	0	0	0	0	0	0	0	0	0	0	0	3
27	99	0	0.181188575	0	0	0	0	0	0	0	0	0	0	0	3
28	102	0	0.187899263	0	0	0	0	0	0	0	0	0	0	0	3
29	106	0	0.194609951	0	0	0	0	0	0	0	0	0	0	0	3
30	109	0	0.201320639	0	0	0	0	0	0	0	0	0	0	0	3
31	112	0	0.208031327	0	0	0	0	0	0	0	0	0	0	0	3
32	116	0	0.214742015	0	0	0	0	0	0	0	0	0	0	0	3
33	119	0	0.221452703	0	0	0	0	0	0	0	0	0	0	0	3
34	123	0	0.228163391	0	0	0	0	0	0	0	0	0	0	0	3
35	126	0	0.234874079	0	0	0	0	0	0	0	0	0	0	0	3
36	129	0	0.241584767	0	0	0	0	0	0	0	0	0	0	0	3
37	133	0	0.248295455	0	0	0	0	0	0	0	0	0	0	0	3
38	136	0	0.255006143	0	0	0	0	0	0	0	0	0	0	0	3
39	140	0	0.261716831	0	0	0	0	0	0	0	0	0	0	0	3
40	143	0	0.268427519	0	0	0	0	0	0	0	0	0	0	0	3
