Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	10	0	0.00671068798	293.199782	293.199782	293.199782	293.199782	0	0	0	0	0.182861	0	0	3
2	13	0	0.013421376	293.199789	293.199786	293.199782	293.199789	3.2648403e-06	0	0	0	0.175309	0	0	3
3	17	0	0.0201320639	293.199779	293.199783	293.199779	293.199789	3.2648403e-06	0	0	0	0.174032	0	0	3
4	20	0	0.0268427519	293.199784	293.199783	293.199779	293.199789	3.2648403e-06	0	0	0	0.180726	0	0	3
5	24	0	0.0335534399	293.199779	293.199783	293.199779	293.199789	3.2648403e-06	0	0	0	0.1873	0	0	3
6	28	0	0.0402641279	293.199781	293.199782	293.199779	293.199789	3.2648403e-06	0	0	0	0.200181	0	0	3
7	31	0	0.0469748158	293.199771	293.199781	293.199771	293.199789	4.83576389e-06	0	0	0	0.211414	0	0	3
8	34	0	0.0536855038	293.199764	293.199779	293.199764	293.199789	6.89996199e-06	0	0	0	0.221549	0	0	3
9	38	0	0.0603961918	293.199748	293.199775	293.199748	293.199789	1.0353115e-05	0	0	0	0.230485	0	0	3
10	41	0	0.0671068798	293.199734	293.199771	293.199734	293.199789	1.45140637e-05	0	0	0	0.238319	0	0	3
11	44	0	0.0738175678	293.199708	293.199765	293.199708	293.199789	2.02705672e-05	0	0	0	0.245169	0	0	3
12	48	0	0.0805282557	293.199695	293.199759	293.199695	293.199789	2.60980819e-05	0	0	0	0.248866	0	0	3
13	51	0	0.0872389437	293.199686	293.199754	293.199686	293.199789	3.17791323e-05	0	0	0	0.251203	0	0	3
14	55	0	0.0939496317	293.199691	293.199749	293.199686	293.199789	3.62632707e-05	0	0	0	0.251457	0	0	3
15	58	0	0.10066032	293.199705	293.199746	293.199686	293.199789	3.92330574e-05	0	0	0	0.252068	0	0	3
16	61	0	0.107371008	293.19976	293.199747	293.199686	293.199789	3.92330574e-05	0	0	0	0.245905	0	0	3
17	65	0	0.114081696	293.199834	293.199752	293.199686	293.199834	3.92330574e-05	0	0	0	0.24315	0	0	3
18	68	0	0.120792384	293.199929	293.199762	293.199686	293.199929	3.92330574e-05	0	0	0	0.239709	0	0	3
19	71	0	0.127503072	293.200035	293.199776	293.199686	293.200035	3.92330574e-05	0	0	0	0.236327	0	0	3
20	75	0	0.13421376	293.200146	293.199795	293.199686	293.200146	4.85995894e-05	0	0	0	0.235589	0	0	3
21	78	0	0.140924448	293.200325	293.19982	293.199686	293.200325	7.3835201e-05	0	0	0	0.235512	0	0	3
22	82	0	0.147635136	293.200479	293.19985	293.199686	293.200479	0.000103780777	0	0	0	0.235293	0	0	3
23	85	0	0.154345823	293.20061	293.199883	293.199686	293.20061	0.000136820758	0	0	0	0.237679	0	0	3
24	89	0	0.161056511	293.200727	293.199918	293.199686	293.200727	0.000171992987	0	0	0	0.23727	0	0	3
25	92	0	0.167767199	293.200842	293.199955	293.199686	293.200842	0.000208956665	0	0	0	0.237936	0	0	3
26	95	0	0.174477887	293.20104	293.199997	293.199686	293.20104	0.000250692893	0	0	0	0.241597	0	0	3
27	99	0	0.181188575	293.201252	293.200044	293.199686	293.201252	0.000297186862	0	0	0	0.242092	0	0	3
28	102	0	0.187899263	293.201465	293.200094	293.199686	293.201465	0.000347955486	0	0	0	0.244594	0	0	3
29	106	0	0.194609951	293.20167	293.200149	293.199686	293.20167	0.000402290914	0	0	0	0.24466	0	0	3
30	109	0	0.201320639	293.201858	293.200206	293.199686	293.201858	0.000459268781	0	0	0	0.244138	0	0	3
31	112	0	0.208031327	293.202126	293.200268	293.199686	293.202126	0.000521223968	0	0	0	0.251346	0	0	3
32	116	0	0.214742015	293.202363	293.200333	293.199686	293.202363	0.0005867007	0	0	0	0.251729	0	0	3
33	119	0	0.221452703	293.202582	293.200401	293.199686	293.202582	0.000654856864	0	0	0	0.253093	0	0	3
34	123	0	0.228163391	293.202787	293.200471	293.199686	293.202787	0.000725037722	0	0	0	0.252537	0	0	3
35	126	0	0.234874079	293.202986	293.200543	293.199686	293.202986	0.000796882677	0	0	0	0.2587	0	0	3
36	129	0	0.241584767	293.203305	293.20062	293.199686	293.203305	0.000873609558	0	0	0	0.254324	0	0	3
37	133	0	0.248295455	293.203629	293.200701	293.199686	293.203629	0.000954941502	0	0	0	0.256002	0	0	3
38	136	0	0.255006143	293.203948	293.200787	293.199686	293.203948	0.00104038097	0	0	0	0.258493	0	0	3
39	140	0	0.261716831	293.204262	293.200876	293.199686	293.204262	0.00112950361	0	0	0	0.257136	0	0	3
40	143	0	0.268427519	293.204568	293.200968	293.199686	293.204568	0.00122180395	0	0	0	0.259049	0	0	3
41	146	0	0.275138207	293.205013	293.201067	293.199686	293.205013	0.00132045105	0	0	0	0.255742	0	0	3
42	150	0	0.281848895	293.205435	293.201171	293.199686	293.205435	0.00142445215	0	0	0	0.255605	0	0	3
43	154	0	0.288559583	293.205848	293.20128	293.199686	293.205848	0.00153321779	0	0	0	0.262115	0	0	3
44	157	0	0.295270271	293.206247	293.201392	293.199686	293.206247	0.00164611085	0	0	0	0.255552	0	0	3
45	161	0	0.301980959	293.206665	293.20151	293.199686	293.206665	0.00176327553	0	0	0	0.260348	0	0	3
46	165	0	0.308691647	293.207085	293.201631	293.199686	293.207085	0.00188448198	0	0	0	0.260099	0	0	3
47	168	0	0.315402335	293.207501	293.201756	293.199686	293.207501	0.00200937342	0	0	0	0.259688	0	0	3
48	172	0	0.322113023	293.207898	293.201884	293.199686	293.207898	0.0021373318	0	0	0	0.260327	0	0	3
49	176	0	0.328823711	293.208243	293.202013	293.199686	293.208243	0.00226710603	0	0	0	0.25182	0	0	3
50	179	0	0.335534399	293.208517	293.202143	293.199686	293.208517	0.00239717373	0	0	0	0.24905	0	0	3
51	183	0	0.342245087	293.208737	293.202273	293.199686	293.208737	0.00252646427	0	0	0	0.250011	0	0	3
52	186	0	0.348955775	293.208921	293.202401	293.199686	293.208921	0.00265431296	0	0	0	0.246108	0	0	3
53	190	0	0.355666463	293.209088	293.202527	293.199686	293.209088	0.0027804803	0	0	0	0.245092	0	0	3
54	193	0	0.362377151	293.209247	293.202651	293.199686	293.209247	0.00290492156	0	0	0	0.247237	0	0	3
55	197	0	0.369087839	293.209396	293.202774	293.199686	293.209396	0.0030275608	0	0	0	0.24575	0	0	3
56	201	0	0.375798527	293.209529	293.202895	293.199686	293.209529	0.00314819236	0	0	0	0.244718	0	0	3
57	204	0	0.382509215	293.209667	293.203013	293.199686	293.209667	0.00326701339	0	0	0	0.239626	0	0	3
58	208	0	0.389219903	293.209816	293.203131	293.199686	293.209816	0.00338429646	0	0	0	0.240982	0	0	3
59	211	0	0.395930591	293.209968	293.203247	293.199686	293.209968	0.00350018158	0	0	0	0.246713	0	0	3
60	215	0	0.402641279	293.210133	293.203361	293.199686	293.210133	0.00361496377	0	0	0	0.240623	0	0	3
61	218	0	0.409351967	293.21032	293.203475	293.199686	293.21032	0.00372904777	0	0	0	0.245159	0	0	3
62	222	0	0.416062655	293.21051	293.203589	293.199686	293.21051	0.00384251645	0	0	0	0.239438	0	0	3
63	225	0	0.422773343	293.210713	293.203702	293.199686	293.210713	0.00395559722	0	0	0	0.240381	0	0	3
64	229	0	0.429484031	293.210916	293.203815	293.199686	293.210916	0.00406830979	0	0	0	0.243177	0	0	3
65	232	0	0.436194719	293.211103	293.203927	293.199686	293.211103	0.00418044349	0	0	0	0.238634	0	0	3
66	235	0	0.442905407	293.211286	293.204038	293.199686	293.211286	0.00429194858	0	0	0	0.235229	0	0	3
67	239	0	0.449616094	293.21146	293.204149	293.199686	293.21146	0.00440272639	0	0	0	0.239062	0	0	3
68	243	0	0.456326782	293.211615	293.204259	293.199686	293.211615	0.00451252299	0	0	0	0.232262	0	0	3
69	246	0	0.46303747	293.211762	293.204368	293.199686	293.211762	0.00462126422	0	0	0	0.231005	0	0	3
70	250	0	0.469748158	293.211904	293.204475	293.199686	293.211904	0.00472892693	0	0	0	0.23471	0	0	3
71	253	0	0.476458846	293.212039	293.204582	293.199686	293.212039	0.00483546311	0	0	0	0.233204	0	0	3
72	256	0	0.483169534	293.212177	293.204687	293.199686	293.212177	0.00494095048	0	0	0	0.229921	0	0	3
73	260	0	0.489880222	293.212321	293.204792	293.199686	293.212321	0.00504552146	0	0	0	0.23222	0	0	3
74	263	0	0.49659091	293.212465	293.204896	293.199686	293.212465	0.00514921838	0	0	0	0.235856	0	0	3
75	266	0	0.503301598	293.212609	293.204998	293.199686	293.212609	0.00525206684	0	0	0	0.22885	0	0	3
76	270	0	0.510012286	293.212755	293.205171	293.199686	293.212755	0.00542503325	0	0	0	0.232328	0	0	3
77	273	0	0.516722974	293.212893	293.205346	293.199686	293.212893	0.00559974963	0	0	0	0.232021	0	0	3
78	277	0	0.523433662	293.21303	293.205523	293.199686	293.21303	0.00577643869	0	0	0	0.22856	0	0	3
79	280	0	0.53014435	293.213165	293.205701	293.199686	293.213165	0.00595484592	0	0	0	0.22975	0	0	3
80	283	0	0.536855038	293.213293	293.205881	293.199686	293.213293	0.0061350356	0	0	0	0.228791	0	0	3
81	287	0	0.543565726	293.213418	293.206063	293.199686	293.213418	0.00631685587	0	0	0	0.22843	0	0	3
82	290	0	0.550276414	293.213534	293.206247	293.199686	293.213534	0.00650036345	0	0	0	0.225334	0	0	3
83	293	0	0.556987102	293.213643	293.206432	293.199686	293.213643	0.00668541488	0	0	0	0.228043	0	0	3
84	297	0	0.56369779	293.21375	293.206618	293.199686	293.21375	0.00687211416	0	0	0	0.225456	0	0	3
85	300	0	0.570408478	293.213853	293.206807	293.199686	293.213853	0.00706037932	0	0	0	0.228395	0	0	3
86	303	0	0.577119166	293.21395	293.206997	293.199686	293.21395	0.00725027955	0	0	0	0.225546	0	0	3
87	307	0	0.583829854	293.214051	293.207188	293.199686	293.214051	0.00744168939	0	0	0	0.223814	0	0	3
88	310	0	0.590540542	293.21415	293.207381	293.199691	293.21415	0.00763454287	0	0	0	0.228567	0	0	3
89	313	0	0.59725123	293.214243	293.207575	293.199705	293.214243	0.00782857014	0	0	0	0.224139	0	0	3
90	317	0	0.603961918	293.214341	293.20777	293.19976	293.214341	0.00802286201	0	0	0	0.222435	0	0	3
91	320	0	0.610672606	293.214439	293.207966	293.199834	293.214439	0.00821346309	0	0	0	0.228082	0	0	3
92	323	0	0.617383294	293.214529	293.208162	293.199929	293.214529	0.00839957238	0	0	0	0.22309	0	0	3
93	327	0	0.624093982	293.214622	293.208358	293.200035	293.214622	0.00858113264	0	0	0	0.222994	0	0	3
94	330	0	0.63080467	293.214715	293.208553	293.200146	293.214715	0.00875840299	0	0	0	0.227758	0	0	3
95	333	0	0.637515358	293.214804	293.208749	293.200325	293.214804	0.00892860869	0	0	0	0.223485	0	0	3
96	336	0	0.644226046	293.214891	293.208943	293.200479	293.214891	0.00909287448	0	0	0	0.221723	0	0	3
97	340	0	0.650936734	293.214979	293.209136	293.20061	293.214979	0.00925317067	0	0	0	0.228258	0	0	3
98	343	0	0.657647422	293.215066	293.209329	293.200727	293.215066	0.00941073876	0	0	0	0.22343	0	0	3
99	346	0	0.66435811	293.215152	293.209521	293.200842	293.215152	0.00956610261	0	0	0	0.223142	0	0	3
100	350	0	0.671068798	293.215238	293.209713	293.20104	293.215238	0.00971630468	0	0	0	0.227592	0	0	3
101	355	0	0.677779486	293.215322	293.209904	293.201252	293.215322	0.00986022564	0	0	0	0.223719	0	0	3
102	358	0	0.684490174	293.215402	293.210092	293.201465	293.215402	0.00999812276	0	0	0	0.222701	0	0	3
103	361	0	0.691200862	293.215485	293.210279	293.20167	293.215485	0.0101307198	0	0	0	0.228333	0	0	3
104	365	0	0.69791155	293.215568	293.210465	293.201858	293.215568	0.010259047	0	0	0	0.224708	0	0	3
105	368	0	0.704622238	293.215649	293.210649	293.202126	293.215649	0.0103809685	0	0	0	0.224588	0	0	3
106	371	0	0.711332926	293.215732	293.21083	293.202363	293.215732	0.0104969048	0	0	0	0.228368	0	0	3
107	374	0	0.718043614	293.215816	293.211009	293.202582	293.215816	0.0106081263	0	0	0	0.223497	0	0	3
108	378	0	0.724754302	293.215898	293.211187	293.202787	293.215898	0.0107154855	0	0	0	0.222015	0	0	3
109	381	0	0.73146499	293.215982	293.211363	293.202986	293.215982	0.0108195725	0	0	0	0.227587	0	0	3
110	384	0	0.738175678	293.216065	293.211537	293.203305	293.216065	0.0109172341	0	0	0	0.223421	0	0	3
111	387	0	0.744886365	293.216146	293.211708	293.203629	293.216146	0.0110071113	0	0	0	0.22315	0	0	3
112	390	0	0.751597053	293.216231	293.211876	293.203948	293.216231	0.0110896907	0	0	0	0.227674	0	0	3
113	394	0	0.758307741	293.216313	293.212041	293.204262	293.216313	0.0111654372	0	0	0	0.22404	0	0	3
114	397	0	0.765018429	293.216392	293.212203	293.204568	293.216392	0.0112348649	0	0	0	0.222359	0	0	3
115	400	0	0.771729117	293.216474	293.212362	293.205013	293.216474	0.0112949693	0	0	0	0.227882	0	0	3
116	403	0	0.778439805	293.216555	293.212516	293.205435	293.216555	0.0111201556	0	0	0	0.224339	0	0	3
117	407	0	0.785150493	293.216632	293.212665	293.205848	293.216632	0.0107846615	0	0	0	0.224502	0	0	3
118	410	0	0.791861181	293.216712	293.21281	293.206247	293.216712	0.0104651096	0	0	0	0.228099	0	0	3
119	413	0	0.798571869	293.216792	293.21295	293.206665	293.216792	0.0101270664	0	0	0	0.22518	0	0	3
120	416	0	0.805282557	293.216873	293.213087	293.207085	293.216873	0.0097877215	0	0	0	0.223799	0	0	3
121	420	0	0.811993245	293.216951	293.213218	293.207501	293.216951	0.00945048152	0	0	0	0.228474	0	0	3
122	423	0	0.818703933	293.217028	293.213345	293.207898	293.217028	0.00913080275	0	0	0	0.225522	0	0	3
123	426	0	0.825414621	293.217104	293.213468	293.208243	293.217104	0.00886142679	0	0	0	0.224595	0	0	3
124	429	0	0.832125309	293.217184	293.213587	293.208517	293.217184	0.00866715289	0	0	0	0.228873	0	0	3
125	433	0	0.838835997	293.217262	293.213704	293.208737	293.217262	0.00852489505	0	0	0	0.225562	0	0	3
126	436	0	0.845546685	293.217339	293.213818	293.208921	293.217339	0.00841837156	0	0	0	0.224998	0	0	3
127	439	0	0.852257373	293.217415	293.213932	293.209088	293.217415	0.00832748259	0	0	0	0.223856	0	0	3
128	442	0	0.858968061	293.217492	293.214044	293.209247	293.217492	0.00824517004	0	0	0	0.228899	0	0	3
129	446	0	0.865678749	293.217565	293.214155	293.209396	293.217565	0.00816840271	0	0	0	0.227544	0	0	3
130	449	0	0.872389437	293.217637	293.214264	293.209529	293.217637	0.00810813357	0	0	0	0.224729	0	0	3
131	452	0	0.879100125	293.217709	293.214374	293.209667	293.217709	0.00804213605	0	0	0	0.226562	0	0	3
132	455	0	0.885810813	293.217781	293.214482	293.209816	293.217781	0.00796564343	0	0	0	0.224045	0	0	3
133	458	0	0.892521501	293.217849	293.214589	293.209968	293.217849	0.00788081997	0	0	0	0.225486	0	0	3
134	462	0	0.899232189	293.217915	293.214695	293.210133	293.217915	0.00778199644	0	0	0	0.228615	0	0	3
135	465	0	0.905942877	293.21798	293.214799	293.21032	293.21798	0.00765927848	0	0	0	0.226224	0	0	3
136	468	0	0.912653565	293.218043	293.214902	293.21051	293.218043	0.00753231631	0	0	0	0.22401	0	0	3
137	471	0	0.919364253	293.218104	293.215004	293.210713	293.218104	0.0073908125	0	0	0	0.228042	0	0	3
138	474	0	0.926074941	293.218163	293.215103	293.210916	293.218163	0.00724723405	0	0	0	0.222397	0	0	3
139	478	0	0.932785629	293.218221	293.2152	293.211103	293.218221	0.00711729311	0	0	0	0.223525	0	0	3
140	481	0	0.939496317	293.218278	293.215296	293.211286	293.218278	0.00699186804	0	0	0	0.226628	0	0	3
141	484	0	0.946207005	293.21833	293.21539	293.21146	293.21833	0.00686957903	0	0	0	0.224807	0	0	3
142	487	0	0.952917693	293.21838	293.215482	293.211615	293.21838	0.00676432999	0	0	0	0.230019	0	0	3
143	491	0	0.959628381	293.218428	293.215573	293.211762	293.218428	0.00666637757	0	0	0	0.225685	0	0	3
144	494	0	0.966339069	293.218474	293.215663	293.211904	293.218474	0.00656989121	0	0	0	0.224661	0	0	3
145	497	0	0.973049757	293.218514	293.215751	293.212039	293.218514	0.0064750424	0	0	0	0.22419	0	0	3
146	500	0	0.979760445	293.218554	293.215838	293.212177	293.218554	0.00637694316	0	0	0	0.230663	0	0	3
147	504	0	0.986471133	293.21859	293.215923	293.212321	293.21859	0.00626880517	0	0	0	0.226539	0	0	3
148	507	0	0.993181821	293.218621	293.216007	293.212465	293.218621	0.00615600144	0	0	0	0.224555	0	0	3
149	510	0	0.999892509	293.218648	293.216089	293.212609	293.218648	0.00603906981	0	0	0	0.226816	0	0	3
150	513	0	1.0066032	293.218674	293.21617	293.212755	293.218674	0.00591926682	0.000569653045	0	0	0.224136	0	0	3
151	516	0	1.01331388	293.218696	293.21625	293.212893	293.218696	0.0058037282	0.000570320187	0	0	0.225145	0	0	3
152	520	0	1.02002457	293.218716	293.216327	293.21303	293.218716	0.00568551439	0.000570614047	0	0	0.228296	0	0	3
153	523	0	1.02673526	293.218732	293.216403	293.213165	293.218732	0.00556765521	0.000570877256	0	0	0.226466	0	0	3
