Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	10	0	0.00671068798	-7.66814953e-07	-7.66814953e-07	-7.66814953e-07	-7.66814953e-07	0	0	0	0	0	0	0	3
2	13	0	0.013421376	7.61855005e-07	-2.47997402e-09	-7.66814953e-07	7.61855005e-07	7.64334979e-07	0	0	0	0	0	0	3
3	17	0	0.0201320639	-4.4108695e-07	-1.48682299e-07	-7.66814953e-07	7.61855005e-07	7.64334979e-07	0	0	0	0	0	0	3
4	20	0	0.0268427519	7.44122697e-08	-9.29086571e-08	-7.66814953e-07	7.61855005e-07	7.64334979e-07	0	0	0	0	0	0	3
5	24	0	0.0335534399	-7.30808864e-08	-8.89431029e-08	-7.66814953e-07	7.61855005e-07	7.64334979e-07	0	0	0	0	0	0	3
6	28	0	0.0402641279	1.83938497e-08	-7.10536108e-08	-7.66814953e-07	7.61855005e-07	7.64334979e-07	0	0	0	0	0	0	3
7	31	0	0.0469748158	-2.12402705e-08	-6.39374194e-08	-7.66814953e-07	7.61855005e-07	7.64334979e-07	0	0	0	0	0	0	3
8	34	0	0.0536855038	5.85964895e-08	-4.86206807e-08	-7.66814953e-07	7.61855005e-07	7.64334979e-07	0	0	0	0	0	0	3
9	38	0	0.0603961918	-2.78055029e-07	-7.41133861e-08	-7.66814953e-07	7.61855005e-07	7.64334979e-07	0	0	0	0	0	0	3
10	41	0	0.0671068798	-6.19506525e-08	-7.28971127e-08	-7.66814953e-07	7.61855005e-07	7.64334979e-07	0	0	0	0	0	0	3
11	44	0	0.0738175678	-1.58867218e-06	-2.10694846e-07	-1.58867218e-06	7.61855005e-07	7.64334979e-07	0	0	0	0	0	0	3
12	48	0	0.0805282557	-1.48641012e-06	-3.17004452e-07	-1.58867218e-06	7.61855005e-07	7.64334979e-07	0	0	0	0	0	0	3
13	51	0	0.0872389437	-1.45092137e-06	-4.0422883e-07	-1.58867218e-06	7.61855005e-07	7.64334979e-07	0	0	0	0	0	0	3
14	55	0	0.0939496317	-3.2794479e-07	-3.9877997e-07	-1.58867218e-06	7.61855005e-07	7.64334979e-07	0	0	0	0	0	0	3
15	58	0	0.10066032	-1.03836813e-06	-4.41419181e-07	-1.58867218e-06	7.61855005e-07	7.64334979e-07	0	0	0	0	0	0	3
16	61	0	0.107371008	-5.20457164e-07	-4.46359055e-07	-1.58867218e-06	7.61855005e-07	7.64334979e-07	0	0	0	0	0	0	3
17	65	0	0.114081696	-2.67749622e-06	-5.77602417e-07	-2.67749622e-06	7.61855005e-07	7.64334979e-07	0	0	0	0	0	0	3
18	68	0	0.120792384	-5.82939755e-07	-5.77898936e-07	-2.67749622e-06	7.61855005e-07	7.64334979e-07	0	0	0	0	0	0	3
19	71	0	0.127503072	-3.03609291e-06	-7.07277566e-07	-3.03609291e-06	7.61855005e-07	7.64334979e-07	0	0	0	0	0	0	3
20	75	0	0.13421376	-1.3284193e-06	-7.38334653e-07	-3.03609291e-06	7.61855005e-07	7.64334979e-07	0	0	0	0	0	0	3
21	78	0	0.140924448	-2.64990844e-06	-8.29361976e-07	-3.03609291e-06	7.61855005e-07	8.26882002e-07	0	0	0	0	0	0	3
22	82	0	0.147635136	-2.84612055e-06	-9.2103282e-07	-3.03609291e-06	7.61855005e-07	9.18552846e-07	0	0	0	0	0	0	3
23	85	0	0.154345823	-1.92103081e-06	-9.64510994e-07	-3.03609291e-06	7.61855005e-07	9.6203102e-07	0	0	0	0	0	0	3
24	89	0	0.161056511	-1.24131113e-06	-9.76044333e-07	-3.03609291e-06	7.61855005e-07	9.73564359e-07	0	0	0	0	0	0	3
25	92	0	0.167767199	-1.70887013e-06	-1.00535737e-06	-3.03609291e-06	7.61855005e-07	1.00287739e-06	0	0	0	0	0	0	3
26	95	0	0.174477887	-8.58754524e-07	-9.99718794e-07	-3.03609291e-06	7.61855005e-07	1.00287739e-06	0	0	0	0	0	0	3
27	99	0	0.181188575	-3.27454479e-06	-1.08397161e-06	-3.27454479e-06	7.61855005e-07	1.08149163e-06	0	0	0	0	0	0	3
28	102	0	0.187899263	-1.29740311e-06	-1.09159416e-06	-3.27454479e-06	7.61855005e-07	1.08911419e-06	0	0	0	0	0	0	3
29	106	0	0.194609951	-2.05226789e-06	-1.12472084e-06	-3.27454479e-06	7.61855005e-07	1.12224087e-06	0	0	0	0	0	0	3
30	109	0	0.201320639	-6.15737668e-07	-1.10775474e-06	-3.27454479e-06	7.61855005e-07	1.12224087e-06	0	0	0	0	0	0	3
31	112	0	0.208031327	-1.23542538e-06	-1.11187314e-06	-3.27454479e-06	7.61855005e-07	1.12224087e-06	0	0	0	0	0	0	3
32	116	0	0.214742015	-8.21060653e-07	-1.10278525e-06	-3.27454479e-06	7.61855005e-07	1.12224087e-06	0	0	0	0	0	0	3
33	119	0	0.221452703	-1.95898759e-06	-1.12873078e-06	-3.27454479e-06	7.61855005e-07	1.12625081e-06	0	0	0	0	0	0	3
34	123	0	0.228163391	-6.10810638e-07	-1.11349783e-06	-3.27454479e-06	7.61855005e-07	1.12625081e-06	0	0	0	0	0	0	3
35	126	0	0.234874079	-7.8903885e-07	-1.10422758e-06	-3.27454479e-06	7.61855005e-07	1.12625081e-06	0	0	0	0	0	0	3
36	129	0	0.241584767	-1.22259508e-06	-1.10751556e-06	-3.27454479e-06	7.61855005e-07	1.12625081e-06	0	0	0	0	0	0	3
37	133	0	0.248295455	-2.79283486e-06	-1.15306473e-06	-3.27454479e-06	7.61855005e-07	1.15058476e-06	0	0	0	0	0	0	3
38	136	0	0.255006143	-3.00417659e-06	-1.2017782e-06	-3.27454479e-06	7.61855005e-07	1.19929823e-06	0	0	0	0	0	0	3
39	140	0	0.261716831	-2.82218738e-06	-1.24332716e-06	-3.27454479e-06	7.61855005e-07	1.24084718e-06	0	0	0	0	0	0	3
