Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	10	0	0.00671068798	17.082502	17.082502	17.082502	17.082502	0	0	0	0	17.0825	0	0	3
2	13	0	0.013421376	15.9892143	16.5358582	15.9892143	17.082502	0.546643869	0	0	0	15.9892	0	0	3
3	17	0	0.0201320639	15.4374338	16.1697167	15.4374338	17.082502	0.91278531	0	0	0	15.4374	0	0	3
4	20	0	0.0268427519	15.5195836	16.0071834	15.4374338	17.082502	1.0753186	0	0	0	15.5196	0	0	3
5	24	0	0.0335534399	15.6975799	15.9452627	15.4374338	17.082502	1.1372393	0	0	0	15.6976	0	0	3
6	28	0	0.0402641279	16.2548986	15.9968687	15.4374338	17.082502	1.1372393	0	0	0	16.2549	0	0	3
7	31	0	0.0469748158	16.7706929	16.107415	15.4374338	17.082502	1.1372393	0	0	0	16.7707	0	0	3
8	34	0	0.0536855038	17.2614526	16.2516697	15.4374338	17.2614526	1.1372393	0	0	0	17.2615	0	0	3
9	38	0	0.0603961918	17.6824644	16.4106469	15.4374338	17.6824644	1.1372393	0	0	0	17.6825	0	0	3
10	41	0	0.0671068798	18.0480459	16.5743868	15.4374338	18.0480459	1.1372393	0	0	0	18.048	0	0	3
11	44	0	0.0738175678	18.3727707	16.7378763	15.4374338	18.3727707	1.1372393	0	0	0	18.3728	0	0	3
12	48	0	0.0805282557	18.5617955	16.8898695	15.4374338	18.5617955	1.1372393	0	0	0	18.5618	0	0	3
13	51	0	0.0872389437	18.6529584	17.0254917	15.4374338	18.6529584	1.1372393	0	0	0	18.653	0	0	3
14	55	0	0.0939496317	18.6580944	17.1421062	15.4374338	18.6580944	1.19684349	0	0	0	18.6581	0	0	3
15	58	0	0.10066032	18.6696084	17.2439397	15.4374338	18.6696084	1.29867696	0	0	0	18.6696	0	0	3
16	61	0	0.107371008	18.6410714	17.3312604	15.4374338	18.6696084	1.3859977	0	0	0	18.6411	0	0	3
17	65	0	0.114081696	18.5422882	17.4024974	15.4374338	18.6696084	1.45723462	0	0	0	18.5423	0	0	3
18	68	0	0.120792384	18.4219456	17.4591334	15.4374338	18.6696084	1.51387064	0	0	0	18.4219	0	0	3
19	71	0	0.127503072	18.3314136	17.5050429	15.4374338	18.6696084	1.55978012	0	0	0	18.3314	0	0	3
20	75	0	0.13421376	18.3011975	17.5448506	15.4374338	18.6696084	1.59958785	0	0	0	18.3012	0	0	3
21	78	0	0.140924448	18.302827	17.5809447	15.4374338	18.6696084	1.63568197	0	0	0	18.3028	0	0	3
22	82	0	0.147635136	18.3190307	17.6144941	15.4374338	18.6696084	1.66923133	0	0	0	18.319	0	0	3
23	85	0	0.154345823	18.4259979	17.6497768	15.4374338	18.6696084	1.70451411	0	0	0	18.426	0	0	3
24	89	0	0.161056511	18.3432159	17.6786701	15.4374338	18.6696084	1.7334074	0	0	0	18.3432	0	0	3
25	92	0	0.167767199	18.3812402	17.7067729	15.4374338	18.6696084	1.7615102	0	0	0	18.3812	0	0	3
26	95	0	0.174477887	18.6151713	17.7417113	15.4374338	18.6696084	1.7964486	0	0	0	18.6152	0	0	3
27	99	0	0.181188575	18.5590784	17.7719842	15.4374338	18.6696084	1.82672146	0	0	0	18.5591	0	0	3
28	102	0	0.187899263	18.6731968	17.8041704	15.4374338	18.6731968	1.85890762	0	0	0	18.6732	0	0	3
29	106	0	0.194609951	18.6179775	17.8322327	15.4374338	18.6731968	1.88696994	0	0	0	18.618	0	0	3
30	109	0	0.201320639	18.533767	17.8556171	15.4374338	18.6731968	1.91035442	0	0	0	18.5338	0	0	3
31	112	0	0.208031327	18.8809461	17.8886923	15.4374338	18.8809461	1.94342954	0	0	0	18.8809	0	0	3
32	116	0	0.214742015	18.8273444	17.9180252	15.4374338	18.8809461	1.97276242	0	0	0	18.8273	0	0	3
33	119	0	0.221452703	18.8678434	17.9468075	15.4374338	18.8809461	2.0015448	0	0	0	18.8678	0	0	3
34	123	0	0.228163391	18.7962351	17.9717907	15.4374338	18.8809461	2.02652796	0	0	0	18.7962	0	0	3
35	126	0	0.234874079	19.1093689	18.0042929	15.4374338	19.1093689	2.0590302	0	0	0	19.1094	0	0	3
36	129	0	0.241584767	18.8505186	18.0277992	15.4374338	19.1093689	2.08253647	0	0	0	18.8505	0	0	3
37	133	0	0.248295455	18.9393874	18.0524367	15.4374338	19.1093689	2.10717398	0	0	0	18.9394	0	0	3
38	136	0	0.255006143	19.0792943	18.0794593	15.4374338	19.1093689	2.13419655	0	0	0	19.0793	0	0	3
39	140	0	0.261716831	19.0015611	18.1031029	15.4374338	19.1093689	2.15784019	0	0	0	19.0016	0	0	3
40	143	0	0.268427519	19.0928945	18.1278477	15.4374338	19.1093689	2.18258498	0	0	0	19.0929	0	0	3
41	146	0	0.275138207	18.9124482	18.1469843	15.4374338	19.1093689	2.20172158	0	0	0	18.9124	0	0	3
42	150	0	0.281848895	18.9090249	18.1651281	15.4374338	19.1093689	2.2198654	0	0	0	18.909	0	0	3
43	154	0	0.288559583	19.2548361	18.1904702	15.4374338	19.2548361	2.24520745	0	0	0	19.2548	0	0	3
44	157	0	0.295270271	18.9095966	18.206814	15.4374338	19.2548361	2.26155123	0	0	0	18.9096	0	0	3
45	161	0	0.301980959	19.1633277	18.2280698	15.4374338	19.2548361	2.28280709	0	0	0	19.1633	0	0	3
46	165	0	0.308691647	19.1522982	18.2481617	15.4374338	19.2548361	2.30289901	0	0	0	19.1523	0	0	3
47	168	0	0.315402335	19.1509502	18.26737	15.4374338	19.2548361	2.32210728	0	0	0	19.151	0	0	3
48	172	0	0.322113023	19.286181	18.2885952	15.4374338	19.286181	2.3433325	0	0	0	19.2862	0	0	3
49	176	0	0.328823711	19.0853176	18.3048549	15.4374338	19.286181	2.35959214	0	0	0	19.0853	0	0	3
50	179	0	0.335534399	19.156512	18.321888	15.4374338	19.286181	2.37662529	0	0	0	19.1565	0	0	3
51	183	0	0.342245087	19.4064757	18.3431544	15.4374338	19.4064757	2.39789171	0	0	0	19.4065	0	0	3
52	186	0	0.348955775	18.8687603	18.3532623	15.4374338	19.4064757	2.40799952	0	0	0	18.8688	0	0	3
53	190	0	0.355666463	19.4094591	18.3731905	15.4374338	19.4094591	2.42792776	0	0	0	19.4095	0	0	3
54	193	0	0.362377151	19.048263	18.3856918	15.4374338	19.4094591	2.4404291	0	0	0	19.0483	0	0	3
55	197	0	0.369087839	19.0978614	18.3986404	15.4374338	19.4094591	2.45337764	0	0	0	19.0979	0	0	3
56	201	0	0.375798527	19.3399289	18.4154491	15.4374338	19.4094591	2.47018636	0	0	0	19.3399	0	0	3
57	204	0	0.382509215	19.1719084	18.4287203	15.4374338	19.4094591	2.48345758	0	0	0	19.1719	0	0	3
58	208	0	0.389219903	18.9780929	18.4381923	15.4374338	19.4094591	2.49292952	0	0	0	18.9781	0	0	3
59	211	0	0.395930591	19.7668928	18.4607126	15.4374338	19.7668928	2.51544987	0	0	0	19.7669	0	0	3
60	215	0	0.402641279	18.8416605	18.4670617	15.4374338	19.7668928	2.521799	0	0	0	18.8417	0	0	3
61	218	0	0.409351967	19.0406124	18.4764642	15.4374338	19.7668928	2.53120147	0	0	0	19.0406	0	0	3
62	222	0	0.416062655	18.8254992	18.4820938	15.4374338	19.7668928	2.53683107	0	0	0	18.8255	0	0	3
63	225	0	0.422773343	18.6692491	18.4850645	15.4374338	19.7668928	2.53980179	0	0	0	18.6692	0	0	3
64	229	0	0.429484031	18.760001	18.4893604	15.4374338	19.7668928	2.54409767	0	0	0	18.76	0	0	3
65	232	0	0.436194719	19.3218255	18.5021676	15.4374338	19.7668928	2.55690482	0	0	0	19.3218	0	0	3
66	235	0	0.442905407	18.8084141	18.5068077	15.4374338	19.7668928	2.56154492	0	0	0	18.8084	0	0	3
67	239	0	0.449616094	18.6151163	18.5084242	15.4374338	19.7668928	2.56316147	0	0	0	18.6151	0	0	3
68	243	0	0.456326782	18.8903569	18.5140409	15.4374338	19.7668928	2.56877813	0	0	0	18.8904	0	0	3
69	246	0	0.46303747	18.6358196	18.5158058	15.4374338	19.7668928	2.57054304	0	0	0	18.6358	0	0	3
70	250	0	0.469748158	18.7112613	18.518598	15.4374338	19.7668928	2.57333526	0	0	0	18.7113	0	0	3
71	253	0	0.476458846	18.8699148	18.5235461	15.4374338	19.7668928	2.57828338	0	0	0	18.8699	0	0	3
72	256	0	0.483169534	18.5021193	18.5232485	15.4374338	19.7668928	2.57828338	0	0	0	18.5021	0	0	3
73	260	0	0.489880222	18.6670193	18.525218	15.4374338	19.7668928	2.57995525	0	0	0	18.667	0	0	3
74	263	0	0.49659091	18.9887701	18.5314822	15.4374338	19.7668928	2.58621947	0	0	0	18.9888	0	0	3
75	266	0	0.503301598	18.6278524	18.5327671	15.4374338	19.7668928	2.5875044	0	0	0	18.6279	0	0	3
76	270	0	0.510012286	18.885961	18.5568133	15.4374338	19.7668928	2.61155052	0	0	0	18.886	0	0	3
77	273	0	0.516722974	18.8524134	18.5949892	15.4374338	19.7668928	2.64972651	0	0	0	18.8524	0	0	3
78	277	0	0.523433662	18.6291908	18.637546	15.5195836	19.7668928	2.69228327	0	0	0	18.6292	0	0	3
79	280	0	0.53014435	18.7420927	18.6805128	15.6975799	19.7668928	2.73525006	0	0	0	18.7421	0	0	3
80	283	0	0.536855038	18.7463563	18.7211631	16.2548986	19.7668928	2.72429444	0	0	0	18.7464	0	0	3
81	287	0	0.543565726	18.69928	18.7537549	16.7706929	19.7668928	2.64633988	0	0	0	18.6993	0	0	3
82	290	0	0.550276414	18.4819416	18.7765715	17.2614526	19.7668928	2.50544024	0	0	0	18.4819	0	0	3
83	293	0	0.556987102	18.6924241	18.7956512	17.6824644	19.7668928	2.08442836	0	0	0	18.6924	0	0	3
84	297	0	0.56369779	18.5039033	18.8066037	18.0480459	19.7668928	1.71884689	0	0	0	18.5039	0	0	3
85	300	0	0.570408478	18.6609859	18.8147762	18.3011975	19.7668928	1.46569532	0	0	0	18.661	0	0	3
86	303	0	0.577119166	18.491234	18.8163557	18.3011975	19.7668928	1.46569532	0	0	0	18.4912	0	0	3
87	307	0	0.583829854	18.3787072	18.8139146	18.3011975	19.7668928	1.46569532	0	0	0	18.3787	0	0	3
88	310	0	0.590540542	18.677242	18.8142383	18.3011975	19.7668928	1.46569532	0	0	0	18.6772	0	0	3
89	313	0	0.59725123	18.4227547	18.8111005	18.3011975	19.7668928	1.46569532	0	0	0	18.4228	0	0	3
90	317	0	0.603961918	18.3098571	18.8063038	18.3011975	19.7668928	1.46569532	0	0	0	18.3099	0	0	3
91	320	0	0.610672606	18.6458414	18.8063674	18.3011975	19.7668928	1.41385837	0	0	0	18.6458	0	0	3
92	323	0	0.617383294	18.384276	18.8042606	18.3011975	19.7668928	1.35722236	0	0	0	18.3843	0	0	3
93	327	0	0.624093982	18.2963073	18.8025854	18.2963073	19.7668928	1.31131287	0	0	0	18.2963	0	0	3
94	330	0	0.63080467	18.6167188	18.8063894	18.2963073	19.7668928	1.27150514	0	0	0	18.6167	0	0	3
